zip,meanAnnualTemperature,normOutsideTemperature,height,zone,place
01067,10.5,-12.3,112,4,Dresden
01069,10.4,-12.4,115,4,Dresden
01097,10.9,-12.1,115,4,Dresden
01099,9.3,-14,253,4,Dresden
01108,9.5,-13.9,216,9,Dresden
01109,9.5,-13.8,212,4,Dresden
01127,10.3,-12.6,114,4,Dresden
01129,10,-12.8,140,4,Dresden
01139,10.1,-12.7,111,4,Dresden
01156,9.3,-13.8,255,4,Dresden
01157,10.2,-12.6,140,4,Dresden
01159,10.2,-12.6,133,4,Dresden
01169,9.8,-13.3,212,4,Dresden
01187,10,-12.8,169,4,Dresden
01189,9.7,-13.3,236,4,Dresden
01217,9.9,-12.9,158,4,Dresden
01219,10.3,-12.6,119,4,Dresden
01237,10.2,-12.7,121,4,Dresden
01239,10,-12.8,137,4,Dresden
01257,10.2,-12.8,125,4,Dresden
01259,10.1,-12.8,119,4,Dresden
01277,10.3,-12.7,115,4,Dresden
01279,9.9,-13.1,114,4,Dresden
01307,10.4,-12.5,115,4,Dresden
01309,10.3,-12.6,116,4,Dresden
01324,9.4,-13.9,240,4,Dresden
01326,9.3,-13.9,247,4,Dresden
01328,8.9,-13.9,304,4,Dresden
01445,10,-12.8,122,4,Radebeul
01454,9.3,-14,258,9,"Radeberg, Wachau"
01458,9.6,-13.6,160,9,Ottendorf-Okrilla
01465,9.5,-13.9,209,9,Dresden
01468,9.6,-13.8,178,9,Moritzburg
01471,9.6,-13.6,156,9,Radeburg
01477,9.2,-14,249,9,"Arnsdorf b, Dresden"
01558,9.7,-13.5,123,4,Großenhain
01561,9.6,-13.6,132,4,"Großenhain, Ebersbach u.a."
01587,9.7,-13.3,117,4,Riesa
01589,9.7,-13.3,105,4,Riesa
01591,9.7,-12.9,99,4,Riesa
01594,9.6,-13.6,131,4,"Riesa, Stauchitz, Hirschstein"
01609,9.6,-13.3,98,4,"Gröditz, Wülknitz, Röderaue"
01612,9.7,-13.6,109,4,"Nünchritz, Glaubitz"
01616,9.7,-13,94,4,Strehla
01619,9.6,-13,97,4,Zeithain
01623,9.6,-13.6,155,4,Lommatzsch
01640,9.9,-13,116,4,Coswig
01662,10,-12.9,109,4,Meißen
01665,9.5,-13.5,202,4,"Käbschütztal, Klipphausen, Diera-Zehren"
01683,9.3,-13.8,245,9,Nossen
01689,9.8,-13.4,138,4,Weinböhla
01705,9.5,-13.4,233,4,Freital
01723,9,-13.8,306,4,Wilsdruff
01728,9.1,-13.7,283,4,Bannewitz
01731,9.3,-13.7,245,4,Kreischa
01734,8.9,-13.8,317,4,Rabenau
01737,8.7,-13.8,363,9,Tharandt u.a.
01738,8.7,-13.8,348,9,Dorfhain
01744,8.1,-13.9,447,9,Dippoldiswalde
01762,7.1,-14.6,605,10,Hartmannsdorf-Reichenau
01768,8,-14,466,9,Glashütte
01773,5.8,-15.2,786,10,Altenberg
01774,8.3,-13.9,441,9,Klingenberg
01776,6.4,-14.9,700,10,Hermsdorf
01778,7,-14.5,608,10,Altenberg
01796,9.3,-13.5,232,9,"Pirna, Struppen, Dohma"
01809,9.3,-13.8,240,4,Heidenau
01814,9,-13.7,241,10,Bad Schandau
01816,8,-14.1,450,10,Bad Gottleuba-Berggießhübel
01819,8.7,-13.7,308,9,Bahretal
